Date,AAPL,AMGN,AMZN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,NVDA,PG,SHW,TRV,UNH,V,VZ,WMT
2024-08-01,217.62855529785156,327.9171142578125,184.07000732421875,246.63131713867188,178.30999755859375,327.5494384765625,251.9794464111328,46.40245819091797,147.76771545410156,92.63951110839844,492.2867126464844,352.31231689453125,201.39212036132812,184.08583068847656,157.02207946777344,204.37254333496094,66.49845123291016,264.0727844238281,124.51222229003906,111.20498657226562,414.6962585449219,72.78033447265625,109.18309783935547,162.70896911621094,348.2724914550781,209.38990783691406,566.1459350585938,264.4491882324219,38.89702606201172,69.08060455322266
2024-08-02,219.12355041503906,326.41204833984375,167.89999389648438,230.36642456054688,169.9499969482422,317.0270080566406,242.9282684326172,45.68767166137695,143.82711791992188,89.17485809326172,463.26849365234375,349.2173767089844,200.51600646972656,183.56170654296875,160.32350158691406,195.70468139648438,67.8389892578125,271.8746337890625,123.30126190185547,112.55328369140625,406.1261901855469,72.93801879882812,107.24356079101562,167.01998901367188,345.16131591796875,211.8387908935547,583.0086669921875,265.0955810546875,39.011295318603516,67.76412200927734
2024-08-05,208.56903076171875,317.8410339355469,161.02000427246094,224.05882263183594,167.02999877929688,313.0057373046875,237.9894256591797,43.80768585205078,140.06080627441406,87.39275360107422,451.8304443359375,343.89215087890625,196.59800720214844,177.92245483398438,157.50070190429688,191.53781127929688,66.63544464111328,263.7780456542969,122.68101501464844,109.72967529296875,392.86334228515625,70.38552856445312,100.42524719238281,165.0363311767578,337.0503845214844,205.9930419921875,563.368408203125,255.01205444335938,37.8972282409668,66.90296936035156
2024-08-06,206.5358428955078,321.4864196777344,161.92999267578125,229.2159881591797,165.0399932861328,322.5303039550781,237.40196228027344,44.21893310546875,138.67625427246094,89.5730972290039,462.8550720214844,347.7239685058594,195.7021942138672,181.30987548828125,155.27371215820312,196.8839874267578,66.58651733398438,265.3599853515625,122.9566879272461,108.5963363647461,397.29754638671875,71.44988250732422,104.22430419921875,165.06576538085938,342.05010986328125,205.66720581054688,561.7770385742188,256.8218994140625,38.335235595703125,67.05145263671875
2024-08-07,209.11717224121094,305.40966796875,162.77000427246094,226.9151153564453,163.24000549316406,321.89794921875,239.01504516601562,44.17976379394531,137.88232421875,85.5807876586914,465.60137939453125,336.4151611328125,194.83590698242188,181.30987548828125,155.20535278320312,196.9429473876953,66.9876937866211,264.6820373535156,120.92857360839844,109.90554809570312,396.1243591308594,71.56816101074219,98.88563537597656,166.96107482910156,337.6666259765625,206.74349975585938,559.5333251953125,255.0915985107422,38.354278564453125,66.2298812866211
2024-08-08,212.59547424316406,317.32305908203125,165.8000030517578,231.6160430908203,168.8699951171875,332.1338806152344,248.0562744140625,44.87497329711914,139.8961944580078,85.5807876586914,478.1614990234375,342.2513122558594,196.706298828125,186.94912719726562,156.49464416503906,200.539794921875,67.25189208984375,266.4703063964844,123.19296264648438,111.30268859863281,400.3597412109375,73.11541748046875,104.94413757324219,167.79576110839844,340.64862060546875,209.0245361328125,559.69140625,258.3831787109375,38.58280563354492,66.97225952148438
2024-08-09,215.51568603515625,315.1730041503906,166.94000244140625,235.8905487060547,167.91000366210938,334.208740234375,251.4517059326172,44.52247619628906,140.3802947998047,85.82968139648438,482.5811767578125,342.5461120605469,195.1410675048828,187.44847106933594,156.88534545898438,202.2498016357422,67.20296478271484,263.2474365234375,122.2478256225586,111.91822814941406,403.6704406738281,73.26323699951172,104.72418975830078,167.47171020507812,343.5610046386719,209.8144989013672,552.2979125976562,258.8315734863281,38.80181121826172,67.25930786132812
2024-08-12,217.0522918701172,312.7394714355469,166.8000030517578,235.09713745117188,164.1300048828125,332.0054626464844,250.23692321777344,43.9251823425293,140.4093475341797,85.5708236694336,477.8957214355469,339.7655334472656,193.72349548339844,185.51963806152344,156.16256713867188,202.63307189941406,66.70393371582031,264.77044677734375,121.45036315917969,110.872802734375,404.4559020996094,73.55889129638672,108.99313354492188,163.80882263183594,341.1754150390625,207.09898376464844,558.7523803710938,258.9610900878906,38.59232711791992,68.0016860961914
2024-08-13,220.78408813476562,316.1112365722656,170.22999572753906,237.0211639404297,168.75999450683594,334.74224853515625,253.51287841796875,44.424556732177734,139.56700134277344,85.22237396240234,484.23486328125,343.95111083984375,193.66445922851562,186.99807739257812,154.7071990966797,204.35289001464844,66.9876937866211,265.60565185546875,123.40956115722656,111.76189422607422,411.6142272949219,77.36298370361328,116.11138153076172,164.28016662597656,346.98028564453125,208.2345733642578,567.598876953125,259.2002258300781,38.83037567138672,67.4374771118164
2024-08-14,221.23309326171875,315.4075622558594,170.10000610351562,241.75186157226562,168.5,333.5467834472656,254.2298126220703,44.493099212646484,140.07044982910156,85.9192886352539,490.88897705078125,349.4433898925781,194.52088928222656,188.30029296875,154.79510498046875,206.6132049560547,67.10511779785156,266.4310302734375,124.21686553955078,110.97050476074219,414.4477233886719,77.3826904296875,118.05091094970703,165.7630157470703,350.0318298339844,211.404296875,572.9661254882812,260.2066650390625,38.94464111328125,67.96209716796875
